DELIVERED,40,914,Paga de Contado,Carlin,Bernita,4,7
DELIVERED,61,219,Ninguna,Sterling,Vanda,10,7
DELIVERED,42,710,Sin salsas,Trevar,Saturn,6,4
SENT,7,836,Sin salsas,Hummer,Chas,4,4
IN_PROCCESS,6,457,Sin salsas,Chop Suey,Corena,8,10
IN_PROCCESS,1985,436,Paga de Contado,Denice,Angelo,8,4
DELIVERED,76,110,Sin salsas,Mariann,Tymon,6,9
IN_PROCCESS,46,198,Ninguna,Regen,Petra,10,9
DELIVERED,31,312,Sin salsas,Sterling,Raquel,9,6
DELIVERED,1992,596,Paga de Contado,Mariann,Mareah,7,6
SENT,57,394,Sin salsas,Weston,Tomas,7,6
SENT,54,526,Paga de Contado,Wilmette,Rhea,5,9
SENT,100,748,Sin salsas,Wilmette,Audi,4,7
SENT,2011,177,Sin salsas,Nissan,Jaguar,10,5
SENT,49,496,Sin salsas,Kia,Tybi,8,8
DELIVERED,67,753,Sin salsas,Cadillac,Margery,5,8
DELIVERED,1986,138,Paga de Contado,Aston Martin,Adele,4,5
SENT,30,826,Ninguna,Lamborghini,Phil,7,8
IN_PROCCESS,27,415,Sin salsas,Derril,Filmer,5,4
IN_PROCCESS,1972,647,Ninguna,Elle,Plymouth,4,8
DELIVERED,23,893,Sin salsas,Harmonia,Matthaeus,9,8
IN_PROCCESS,2,805,Sin salsas,Suzuki,Trevar,4,5
IN_PROCCESS,34,640,Sin salsas,Edita,Kia,5,6
DELIVERED,1994,582,Ninguna,Molli,Dorice,7,8
SENT,16,358,Paga de Contado,Nicky,Codie,5,8
IN_PROCCESS,1977,629,Ninguna,Appolonia,Kim,5,10
IN_PROCCESS,1985,329,Ninguna,Lexus,Mercury,5,8
SENT,93,209,Paga de Contado,Chloe,Sinclare,10,8
IN_PROCCESS,11,820,Ninguna,Noak,Katlin,7,6
DELIVERED,11,462,Sin salsas,Demeter,Lyndsey,9,7
DELIVERED,1967,156,Sin salsas,Cadillac,Sayre,10,4
SENT,94,2012,Sin salsas,Derril,Ram,8,10
SENT,75,586,Paga de Contado,Mercedes-Benz,Richie,9,5
IN_PROCCESS,7,794,Sin salsas,Jaguar,Jaguar,5,5
IN_PROCCESS,1986,211,Sin salsas,Candida,Suzuki,4,9
SENT,44,260,Ninguna,Una,Skelly,8,10
SENT,39,962,Ninguna,Evangelia,Olenka,7,8
SENT,8,420,Sin salsas,Shanan,Saab,8,7
DELIVERED,65,893,Paga de Contado,Suzuki,Chrysler,10,5
IN_PROCCESS,2009,552,Paga de Contado,Aston Martin,Rhea,7,5
SENT,53,589,Sin salsas,Mab,Ethelda,8,8
DELIVERED,2013,868,Paga de Contado,Raphaela,Dorice,8,5
SENT,1985,520,Sin salsas,Ford,Chevrolet,5,9
DELIVERED,76,801,Ninguna,Land Rover,Shelba,5,8
DELIVERED,73,244,Sin salsas,Cadillac,Sayre,6,9
DELIVERED,1986,356,Ninguna,Thelma,Aston Martin,5,9
DELIVERED,40,817,Paga de Contado,Feliks,Missy,10,9
DELIVERED,1985,805,Ninguna,Jeep,Buick,9,5
IN_PROCCESS,45,302,Ninguna,Candida,Kakalina,7,8
IN_PROCCESS,11,110,Paga de Contado,Taryn,Regen,8,8
SENT,53,604,Ninguna,MINI,Lauren,7,6
IN_PROCCESS,84,154,Ninguna,Marshal,Buick,5,4
DELIVERED,26,199,Sin salsas,Conny,Lexus,9,10
DELIVERED,96,153,Sin salsas,Nissan,Mariann,9,7
